name ts   x y z   roll pitch yaw  err delay
anonymous:0 1603183172 230209000   0.000619924 -0.910668 1.45623
anonymous:0 1603183172 239765000   0.018313 -0.919604 1.46531
anonymous:0 1603183172 249856000   0.0369142 -0.929221 1.47469
anonymous:0 1603183172 260160000   0.0561095 -0.93947 1.48462
anonymous:0 1603183172 270085000   0.0762524 -0.950167 1.495
anonymous:0 1603183172 280045000   0.0962983 -0.961417 1.50557
anonymous:0 1603183172 289812000   0.116167 -0.972938 1.51647
anonymous:0 1603183172 299894000   0.136036 -0.984834 1.52755
anonymous:0 1603183172 310004000   0.154871 -0.997564 1.53869
anonymous:0 1603183172 319851000   0.172743 -1.01089 1.54945
anonymous:0 1603183172 329788000   0.189497 -1.02429 1.5599
anonymous:0 1603183172 340389000   0.204742 -1.03767 1.56974
anonymous:0 1603183172 350751000   0.218452 -1.05073 1.5788
anonymous:0 1603183172 361099000   0.230367 -1.06362 1.587
anonymous:0 1603183172 371146000   0.240223 -1.07597 1.59395
anonymous:0 1603183172 381579000   0.248024 -1.08808 1.5995
anonymous:0 1603183172 391252000   0.253791 -1.09936 1.60364
anonymous:0 1603183172 401669000   0.258108 -1.11014 1.60575
anonymous:0 1603183172 411462000   0.261282 -1.11941 1.60603
anonymous:0 1603183172 421588000   0.264231 -1.12706 1.60443
anonymous:0 1603183172 431553000   0.26699 -1.13297 1.60153
anonymous:0 1603183172 441465000   0.269979 -1.13676 1.5975
anonymous:0 1603183172 451935000   0.27331 -1.13887 1.59299
anonymous:0 1603183172 462125000   0.27699 -1.13944 1.58834
anonymous:0 1603183172 471808000   0.28088 -1.13908 1.5836
anonymous:0 1603183172 482375000   0.284936 -1.13793 1.5783
anonymous:0 1603183172 491812000   0.288851 -1.13588 1.57233
anonymous:0 1603183172 501738000   0.292658 -1.13295 1.56554
anonymous:0 1603183172 511582000   0.295715 -1.12878 1.55769
anonymous:0 1603183172 521526000   0.297434 -1.12353 1.54791
anonymous:0 1603183172 531828000   0.298604 -1.11744 1.53683
anonymous:0 1603183172 541767000   0.29945 -1.11127 1.52449
anonymous:0 1603183172 551724000   0.299863 -1.10489 1.51134
anonymous:0 1603183172 561605000   0.300479 -1.09813 1.49679
anonymous:0 1603183172 571788000   0.300743 -1.09115 1.48129
anonymous:0 1603183172 581853000   0.300862 -1.0835 1.46425
anonymous:0 1603183172 592004000   0.300165 -1.07577 1.44618
anonymous:0 1603183172 601614000   0.299024 -1.06767 1.42653
anonymous:0 1603183172 611787000   0.297082 -1.05918 1.40536
anonymous:0 1603183172 621643000   0.294735 -1.05046 1.38323
anonymous:0 1603183172 631622000   0.292004 -1.04177 1.35994
anonymous:0 1603183172 641877000   0.28888 -1.03282 1.33568
anonymous:0 1603183172 651905000   0.285511 -1.02367 1.31055
anonymous:0 1603183172 661710000   0.281468 -1.01449 1.28449
anonymous:0 1603183172 671850000   0.276754 -1.00558 1.25754
anonymous:0 1603183172 681836000   0.27121 -0.997 1.22993
anonymous:0 1603183172 691560000   0.264622 -0.988509 1.20177
anonymous:0 1603183172 701837000   0.257389 -0.980312 1.17269
anonymous:0 1603183172 712110000   0.2487 -0.972452 1.14333
anonymous:0 1603183172 721815000   0.238442 -0.965139 1.11345
anonymous:0 1603183172 732048000   0.226766 -0.958657 1.08366
anonymous:0 1603183172 741803000   0.213465 -0.952937 1.05421
anonymous:0 1603183172 751874000   0.198216 -0.948361 1.02526
anonymous:0 1603183172 761346000   0.180846 -0.945214 0.99701
anonymous:0 1603183172 771548000   0.160746 -0.943254 0.969826
anonymous:0 1603183172 781607000   0.138314 -0.941934 0.944481
anonymous:0 1603183172 791750000   0.113662 -0.940963 0.921108
anonymous:0 1603183172 801811000   0.0868385 -0.940164 0.899965
anonymous:0 1603183172 811286000   0.0581067 -0.939027 0.880892
anonymous:0 1603183172 821336000   0.0277529 -0.937627 0.864464
anonymous:0 1603183172 831914000   -0.00359284 -0.935514 0.85077
anonymous:0 1603183172 841438000   -0.0355062 -0.932692 0.840125
anonymous:0 1603183172 851722000   -0.0672649 -0.929377 0.832517
anonymous:0 1603183172 861813000   -0.0981024 -0.925481 0.827879
anonymous:0 1603183172 871713000   -0.127483 -0.92121 0.826494
anonymous:0 1603183172 881831000   -0.154792 -0.917027 0.828073
anonymous:0 1603183172 891374000   -0.179829 -0.912719 0.832096
anonymous:0 1603183172 901805000   -0.203019 -0.909109 0.837885
anonymous:0 1603183172 911754000   -0.224516 -0.905677 0.845616
anonymous:0 1603183172 922102000   -0.24445 -0.903036 0.854796
anonymous:0 1603183172 931789000   -0.263132 -0.900756 0.865305
anonymous:0 1603183172 941605000   -0.280596 -0.899387 0.876983
anonymous:0 1603183172 951696000   -0.296925 -0.89856 0.890208
anonymous:0 1603183172 961618000   -0.312408 -0.898465 0.904314
anonymous:0 1603183172 971670000   -0.327261 -0.899142 0.920249
anonymous:0 1603183172 981829000   -0.340817 -0.900325 0.937239
anonymous:0 1603183172 991620000   -0.353794 -0.901956 0.955572
anonymous:0 1603183173 1957000   -0.366215 -0.904059 0.975296
anonymous:0 1603183173 11827000   -0.377814 -0.905914 0.995733
anonymous:0 1603183173 21809000   -0.389174 -0.907737 1.01721
anonymous:0 1603183173 32161000   -0.399659 -0.90917 1.03954
anonymous:0 1603183173 41858000   -0.409439 -0.910476 1.06268
anonymous:0 1603183173 51868000   -0.418576 -0.911406 1.08659
anonymous:0 1603183173 61859000   -0.426823 -0.912298 1.11134
anonymous:0 1603183173 72208000   -0.434331 -0.912732 1.13664
anonymous:0 1603183173 81960000   -0.441046 -0.912708 1.16272
anonymous:0 1603183173 91740000   -0.446463 -0.912492 1.18937
anonymous:0 1603183173 101986000   -0.450965 -0.911754 1.21649
anonymous:0 1603183173 111824000   -0.45465 -0.910613 1.24405
anonymous:0 1603183173 122025000   -0.457429 -0.908742 1.27174
anonymous:0 1603183173 131774000   -0.459341 -0.90618 1.29963
anonymous:0 1603183173 141720000   -0.460481 -0.902838 1.32742
anonymous:0 1603183173 151512000   -0.460525 -0.89859 1.35493
anonymous:0 1603183173 161654000   -0.45964 -0.893663 1.38201
anonymous:0 1603183173 171893000   -0.457604 -0.888108 1.40868
anonymous:0 1603183173 781862000   0.126823 -0.536041 0.808982
anonymous:0 1603183173 791812000   0.136873 -0.540165 0.813637
anonymous:0 1603183173 801803000   0.145964 -0.546823 0.819367
anonymous:0 1603183173 812035000   0.154284 -0.555297 0.826801
anonymous:0 1603183173 821714000   0.162319 -0.565516 0.835702
anonymous:0 1603183173 832126000   0.169918 -0.577376 0.846134
anonymous:0 1603183173 841717000   0.177409 -0.590238 0.858348
anonymous:0 1603183173 851977000   0.183743 -0.603521 0.872346
anonymous:0 1603183173 861880000   0.190482 -0.617904 0.888009
anonymous:0 1603183173 871965000   0.197051 -0.632958 0.90539
anonymous:0 1603183173 881775000   0.203207 -0.648011 0.924775
anonymous:0 1603183173 891725000   0.209067 -0.663085 0.945755
anonymous:0 1603183173 902194000   0.214635 -0.678054 0.968278
anonymous:0 1603183173 912096000   0.22003 -0.692206 0.992645
anonymous:0 1603183173 921604000   0.224986 -0.705923 1.01865
anonymous:0 1603183173 932152000   0.229452 -0.71874 1.04627
anonymous:0 1603183173 941880000   0.233316 -0.730677 1.07523
anonymous:0 1603183173 951998000   0.236904 -0.741134 1.10528
anonymous:0 1603183173 962094000   0.240047 -0.750221 1.13673
anonymous:0 1603183173 971752000   0.242708 -0.757563 1.16888
anonymous:0 1603183173 982495000   0.244887 -0.763163 1.20186
anonymous:0 1603183173 991813000   0.246568 -0.766803 1.23511
anonymous:0 1603183174 1723000   0.247577 -0.76898 1.26849
anonymous:0 1603183174 11850000   0.247797 -0.769157 1.30202
anonymous:0 1603183174 21747000   0.247449 -0.767215 1.3347
anonymous:0 1603183174 31812000   0.246496 -0.763772 1.36719
anonymous:0 1603183174 41732000   0.245271 -0.75853 1.39838
anonymous:0 1603183174 52115000   0.243614 -0.751549 1.42843
anonymous:0 1603183174 62338000   0.241556 -0.743174 1.45782
anonymous:0 1603183174 71641000   0.238991 -0.733749 1.4862
anonymous:0 1603183174 532398000   0.329911 -0.422333 1.26098
anonymous:0 1603183174 541753000   0.332895 -0.408995 1.23696
anonymous:0 1603183174 551967000   0.335714 -0.394579 1.21335
anonymous:0 1603183174 561784000   0.338945 -0.37919 1.19026
anonymous:0 1603183174 571552000   0.341852 -0.363201 1.16807
anonymous:0 1603183174 581883000   0.344794 -0.346727 1.14689
anonymous:0 1603183174 591379000   0.347398 -0.330089 1.12707
anonymous:0 1603183174 601860000   0.349153 -0.313444 1.10894
anonymous:0 1603183174 612051000   0.349759 -0.29699 1.09226
anonymous:0 1603183174 621753000   0.349278 -0.280933 1.07719
anonymous:0 1603183174 631848000   0.347792 -0.265458 1.06361
anonymous:0 1603183174 641753000   0.34566 -0.250629 1.05183
anonymous:0 1603183174 651840000   0.343168 -0.236698 1.04167
anonymous:0 1603183174 661892000   0.339781 -0.223929 1.03326
anonymous:0 1603183174 671597000   0.335438 -0.21238 1.02656
anonymous:0 1603183174 681811000   0.330374 -0.201976 1.0213
anonymous:0 1603183174 691896000   0.324411 -0.192596 1.0179
anonymous:0 1603183174 701832000   0.317597 -0.184278 1.01587
anonymous:0 1603183174 711941000   0.309898 -0.176974 1.01528
anonymous:0 1603183174 721808000   0.3015 -0.170766 1.01627
anonymous:0 1603183174 732093000   0.292115 -0.165629 1.01839
anonymous:0 1603183174 741639000   0.282031 -0.161449 1.02207
anonymous:0 1603183174 751410000   0.271167 -0.158254 1.02692
anonymous:0 1603183174 761721000   0.259531 -0.15561 1.03308
anonymous:0 1603183174 772204000   0.246975 -0.153605 1.04045
anonymous:0 1603183174 782031000   0.233947 -0.152009 1.04879
anonymous:0 1603183174 791770000   0.220062 -0.150773 1.05822
anonymous:0 1603183174 801885000   0.205737 -0.149725 1.06855
anonymous:0 1603183174 812056000   0.190737 -0.14879 1.0797
anonymous:0 1603183174 821625000   0.175322 -0.147442 1.09171
anonymous:0 1603183174 831742000   0.159262 -0.145976 1.10443
anonymous:0 1603183174 841625000   0.142891 -0.143887 1.11792
anonymous:0 1603183174 851795000   0.12629 -0.141216 1.13162
anonymous:0 1603183174 861880000   0.109411 -0.137984 1.14583
anonymous:0 1603183174 871884000   0.092512 -0.133976 1.16028
anonymous:0 1603183174 881856000   0.0755919 -0.129049 1.17528
anonymous:0 1603183174 891850000   0.0587781 -0.123418 1.1902
anonymous:0 1603183174 901825000   0.0416647 -0.116946 1.20537
anonymous:0 1603183174 912039000   0.0246037 -0.109728 1.22075
anonymous:0 1603183174 921719000   0.00765788 -0.101597 1.23583
anonymous:0 1603183174 931583000   -0.00894138 -0.0926928 1.25075
anonymous:0 1603183174 941486000   -0.0250625 -0.0829835 1.26538
anonymous:0 1603183174 952020000   -0.0406584 -0.0725683 1.27942
anonymous:0 1603183174 961622000   -0.0559085 -0.0617126 1.29342
anonymous:0 1603183174 971730000   -0.0705006 -0.0503328 1.30694
anonymous:0 1603183174 981781000   -0.0848798 -0.0385567 1.32005
anonymous:0 1603183174 991742000   -0.0989299 -0.0262792 1.33301
anonymous:0 1603183175 1865000   -0.112654 -0.013701 1.34548
anonymous:0 1603183175 12288000   -0.125713 -0.000655177 1.35742
anonymous:0 1603183175 22120000   -0.137915 0.0126797 1.36877
anonymous:0 1603183175 31919000   -0.149285 0.0260007 1.37947
anonymous:0 1603183175 41896000   -0.159598 0.0391083 1.38934
anonymous:0 1603183175 52224000   -0.16904 0.051892 1.39856
anonymous:0 1603183175 62152000   -0.177766 0.0644739 1.40765
anonymous:0 1603183175 72124000   -0.185711 0.0764048 1.41576
anonymous:0 1603183175 82653000   -0.19292 0.0882666 1.42293
anonymous:0 1603183175 92321000   -0.199248 0.099779 1.42916
anonymous:0 1603183175 102253000   -0.204742 0.110511 1.43438
anonymous:0 1603183175 112321000   -0.209405 0.120903 1.43917
anonymous:0 1603183175 122045000   -0.213075 0.130322 1.44306
anonymous:0 1603183175 131905000   -0.216121 0.138935 1.44646
anonymous:0 1603183175 141863000   -0.218469 0.146585 1.44931
anonymous:0 1603183175 152008000   -0.220562 0.153665 1.45102
anonymous:0 1603183175 162039000   -0.221853 0.160146 1.45161
anonymous:0 1603183175 172286000   -0.222673 0.165859 1.4512
anonymous:0 1603183175 183102000   -0.222924 0.170783 1.44967
anonymous:0 1603183175 191508000   -0.222285 0.17453 1.44743
anonymous:0 1603183175 201780000   -0.22121 0.177505 1.44443
anonymous:0 1603183175 282564000   -0.187297 0.168669 1.38228
anonymous:0 1603183175 291620000   -0.181241 0.163241 1.3698
anonymous:0 1603183175 301020000   -0.18494 0.15442 1.35425
anonymous:0 1603183175 311726000   -0.176606 0.148261 1.34007
anonymous:0 1603183175 321731000   -0.16706 0.142271 1.32526
anonymous:0 1603183175 332037000   -0.156115 0.136514 1.31008
anonymous:0 1603183175 341625000   -0.14395 0.130956 1.29448
anonymous:0 1603183175 351720000   -0.130971 0.125688 1.27876
anonymous:0 1603183175 361829000   -0.117271 0.120724 1.26303
anonymous:0 1603183175 371625000   -0.102735 0.116343 1.24738
anonymous:0 1603183175 381347000   -0.0871911 0.112375 1.23183
anonymous:0 1603183175 390776000   -0.0703659 0.109045 1.21643
anonymous:0 1603183175 400741000   -0.0522206 0.106343 1.20139
anonymous:0 1603183175 410374000   -0.0333232 0.104394 1.18681
anonymous:0 1603183175 420351000   -0.013601 0.102986 1.17322
anonymous:0 1603183175 429819000   0.00687083 0.102091 1.16084
anonymous:0 1603183175 440156000   0.0277755 0.1016 1.14983
anonymous:0 1603183175 450137000   0.0487287 0.101725 1.14057
anonymous:0 1603183175 460565000   0.0696382 0.102718 1.13295
anonymous:0 1603183175 470927000   0.0899707 0.104937 1.12739
anonymous:0 1603183175 481344000   0.109436 0.108014 1.12392
anonymous:0 1603183175 491276000   0.127344 0.112034 1.12245
anonymous:0 1603183175 501579000   0.143752 0.116561 1.12315
anonymous:0 1603183175 511624000   0.158025 0.121229 1.12593
anonymous:0 1603183175 521503000   0.170091 0.125799 1.13109
anonymous:0 1603183175 531116000   0.180061 0.130404 1.13859
anonymous:0 1603183175 541749000   0.18741 0.134929 1.14787
anonymous:0 1603183175 551627000   0.192603 0.139491 1.15881
anonymous:0 1603183175 561532000   0.19543 0.143924 1.17113
anonymous:0 1603183175 571945000   0.19587 0.147828 1.18427
anonymous:0 1603183175 582031000   0.19456 0.151274 1.19851
anonymous:0 1603183175 591793000   0.191438 0.153959 1.21354
anonymous:0 1603183175 601935000   0.186933 0.156217 1.22929
anonymous:0 1603183175 611834000   0.181179 0.158015 1.24549
anonymous:0 1603183175 621932000   0.174404 0.159666 1.2622
anonymous:0 1603183175 631555000   0.166411 0.161204 1.27924
anonymous:0 1603183175 641427000   0.157933 0.162436 1.29666
anonymous:0 1603183175 651557000   0.148887 0.163424 1.31453
anonymous:0 1603183175 661825000   0.139403 0.164639 1.33288
anonymous:0 1603183175 672017000   0.129802 0.165829 1.35156
anonymous:0 1603183175 681774000   0.119965 0.167122 1.37042
anonymous:0 1603183175 691839000   0.109995 0.168446 1.38943
anonymous:0 1603183175 701641000   0.0999119 0.170082 1.40866
anonymous:0 1603183175 711248000   0.0898803 0.171987 1.42829
anonymous:0 1603183175 721618000   0.0794654 0.174382 1.44787
anonymous:0 1603183175 731429000   0.069879 0.177382 1.4676
anonymous:0 1603183175 741554000   0.0602121 0.180825 1.48719
anonymous:0 1603183175 751194000   0.0509916 0.185103 1.50666
anonymous:0 1603183175 761557000   0.0421412 0.190017 1.52631
anonymous:0 1603183175 771322000   0.0332845 0.195535 1.54575
anonymous:0 1603183175 781437000   0.0252141 0.201629 1.56498
anonymous:0 1603183175 791385000   0.0176913 0.208701 1.58412
anonymous:0 1603183175 801613000   0.0105991 0.216425 1.60289
anonymous:0 1603183175 811784000   0.0150482 0.227529 1.62218
anonymous:0 1603183175 821566000   0.00844552 0.236347 1.63956
anonymous:0 1603183175 831819000   0.00259756 0.245809 1.65636
anonymous:0 1603183175 841844000   -0.00305486 0.255641 1.67255
anonymous:0 1603183175 852014000   -0.00843557 0.265763 1.68805
anonymous:0 1603183175 861800000   -0.0136184 0.276256 1.70283
anonymous:0 1603183175 872113000   -0.0188362 0.286899 1.7169
anonymous:0 1603183175 881998000   -0.02389 0.297775 1.73016
anonymous:0 1603183175 891822000   -0.0291659 0.308784 1.74252
anonymous:0 1603183175 901837000   -0.0342905 0.319843 1.75389
anonymous:0 1603183175 911800000   -0.0394887 0.330951 1.76422
anonymous:0 1603183175 922016000   -0.0446402 0.342016 1.77343
anonymous:0 1603183175 932178000   -0.0501067 0.352711 1.78171
anonymous:0 1603183175 941815000   -0.0553402 0.363269 1.78892
anonymous:0 1603183175 951998000   -0.0608299 0.373348 1.79498
anonymous:0 1603183175 961595000   -0.0662771 0.383028 1.79991
anonymous:0 1603183175 971769000   -0.0720142 0.392067 1.8035
anonymous:0 1603183175 981713000   -0.0776696 0.400587 1.80603
anonymous:0 1603183175 991823000   -0.0840889 0.408407 1.80756
anonymous:0 1603183176 2015000   -0.0904378 0.415733 1.80806
anonymous:0 1603183176 12035000   -0.0969026 0.422451 1.80737
anonymous:0 1603183176 21775000   -0.103688 0.428468 1.8058
anonymous:0 1603183176 31942000   -0.110778 0.433647 1.80305
anonymous:0 1603183176 41793000   -0.118049 0.437981 1.79927
anonymous:0 1603183176 51822000   -0.12591 0.441441 1.79441
anonymous:0 1603183176 61792000   -0.133915 0.443851 1.7884
anonymous:0 1603183176 71889000   -0.142288 0.445236 1.78147
anonymous:0 1603183176 81963000   -0.15031 0.445591 1.77337
anonymous:0 1603183176 91381000   -0.158264 0.444826 1.76419
anonymous:0 1603183176 101657000   -0.165963 0.443282 1.7541
anonymous:0 1603183176 111813000   -0.172945 0.440616 1.74247
anonymous:0 1603183176 121804000   -0.179824 0.437272 1.72968
anonymous:0 1603183176 131845000   -0.18617 0.433067 1.71565
anonymous:0 1603183176 141725000   -0.191756 0.428403 1.7004
anonymous:0 1603183176 151679000   -0.196429 0.42311 1.68401
anonymous:0 1603183176 161789000   -0.200349 0.417514 1.66659
anonymous:0 1603183176 171866000   -0.203304 0.41149 1.64809
anonymous:0 1603183176 181730000   -0.205202 0.405353 1.62879
anonymous:0 1603183176 191335000   -0.205998 0.399249 1.60874
anonymous:0 1603183176 201526000   -0.205596 0.393536 1.58799
anonymous:0 1603183176 211869000   -0.203854 0.388281 1.56666
anonymous:0 1603183176 221359000   -0.201343 0.383624 1.54472
anonymous:0 1603183176 231772000   -0.197501 0.379797 1.5225
anonymous:0 1603183176 241599000   -0.192965 0.376815 1.49982
anonymous:0 1603183176 251810000   -0.187599 0.374793 1.47682
anonymous:0 1603183176 261817000   -0.181416 0.37357 1.45377
anonymous:0 1603183176 272226000   -0.174915 0.373023 1.43171
anonymous:0 1603183176 282471000   -0.168152 0.373445 1.40924
anonymous:0 1603183176 291895000   -0.160989 0.374531 1.38742
anonymous:0 1603183176 302011000   -0.152321 0.376509 1.36557
anonymous:0 1603183176 312173000   -0.14292 0.379479 1.34386
anonymous:0 1603183176 321674000   -0.142899 0.381325 1.31976
anonymous:0 1603183176 332062000   -0.133167 0.386134 1.2986
anonymous:0 1603183176 341772000   -0.123406 0.39152 1.27805
anonymous:0 1603183176 351752000   -0.113681 0.397463 1.25832
anonymous:0 1603183176 361862000   -0.10423 0.404161 1.2392
anonymous:0 1603183176 371734000   -0.0947655 0.411616 1.22058
anonymous:0 1603183176 381739000   -0.0856699 0.420199 1.20271
anonymous:0 1603183176 391739000   -0.076901 0.429431 1.18558
anonymous:0 1603183176 401855000   -0.0684881 0.439217 1.16917
anonymous:0 1603183176 412239000   -0.0602634 0.44916 1.15366
anonymous:0 1603183176 421835000   -0.0524804 0.459654 1.13903
anonymous:0 1603183176 431581000   -0.0453329 0.470352 1.12503
anonymous:0 1603183176 441032000   -0.0389611 0.48125 1.11172
anonymous:0 1603183176 450746000   -0.0334808 0.492744 1.09856
anonymous:0 1603183176 460444000   -0.0290359 0.504652 1.08594
anonymous:0 1603183176 470232000   -0.0253905 0.516684 1.07411
anonymous:0 1603183176 480253000   -0.0223812 0.528984 1.06301
anonymous:0 1603183176 491150000   -0.0203857 0.541265 1.0528
anonymous:0 1603183176 501517000   -0.0193721 0.553659 1.04313
anonymous:0 1603183176 511578000   -0.0195794 0.566054 1.03435
anonymous:0 1603183176 521455000   -0.020917 0.578453 1.02619
anonymous:0 1603183176 531236000   -0.0235511 0.590977 1.01861
anonymous:0 1603183176 541560000   -0.0274386 0.603282 1.01145
anonymous:0 1603183176 551587000   -0.0324511 0.615674 1.00525
anonymous:0 1603183176 561421000   -0.0384727 0.628048 0.999761
anonymous:0 1603183176 571781000   -0.0460333 0.639988 0.995259
anonymous:0 1603183176 581776000   -0.0537944 0.652051 0.991852
anonymous:0 1603183176 591961000   -0.0627339 0.663999 0.989449
anonymous:0 1603183176 602074000   -0.0725345 0.675885 0.988171
anonymous:0 1603183176 612066000   -0.0825418 0.687751 0.988026
anonymous:0 1603183176 622022000   -0.0938814 0.699197 0.989012
anonymous:0 1603183176 631712000   -0.105182 0.710875 0.990889
anonymous:0 1603183176 641529000   -0.117053 0.722499 0.994118
anonymous:0 1603183176 651795000   -0.129244 0.733931 0.998296
anonymous:0 1603183176 661589000   -0.141262 0.745141 1.00413
anonymous:0 1603183176 672021000   -0.153471 0.756078 1.01081
anonymous:0 1603183176 681785000   -0.165417 0.766876 1.01892
anonymous:0 1603183176 691901000   -0.177374 0.777399 1.02781
anonymous:0 1603183176 701786000   -0.188783 0.78801 1.03789
anonymous:0 1603183176 712119000   -0.200317 0.798659 1.0488
anonymous:0 1603183176 722052000   -0.21158 0.808597 1.06064
anonymous:0 1603183176 732052000   -0.221698 0.818115 1.07361
anonymous:0 1603183176 752428000   -0.242198 0.840958 1.10081
anonymous:0 1603183176 762071000   -0.251139 0.852233 1.11548
anonymous:0 1603183176 772067000   -0.253601 0.868834 1.13316
anonymous:0 1603183176 782318000   -0.261903 0.881654 1.14761
anonymous:0 1603183177 201972000   0.051555 1.28926 0.98453
anonymous:0 1603183177 241829000   0.0639545 1.30066 0.979867
anonymous:0 1603183177 251313000   0.0619325 1.30626 0.981872
anonymous:0 1603183177 260681000   0.0577697 1.3128 0.984599
anonymous:0 1603183177 270550000   0.0524614 1.32023 0.988476
anonymous:0 1603183177 280380000   0.0456407 1.32875 0.993174
anonymous:0 1603183177 289967000   0.0374177 1.33789 0.998556
anonymous:0 1603183177 300150000   0.0286532 1.34767 1.00466
anonymous:0 1603183177 310237000   0.0186546 1.35752 1.01174
anonymous:0 1603183177 320032000   0.00819489 1.36753 1.01932
anonymous:0 1603183177 329872000   -0.00279675 1.3775 1.0277
anonymous:0 1603183177 340405000   -0.0142317 1.38723 1.03668
anonymous:0 1603183177 351187000   -0.0261127 1.39663 1.04625
anonymous:0 1603183177 361683000   -0.0384232 1.40552 1.05645
anonymous:0 1603183177 371977000   -0.0513987 1.41383 1.06715
anonymous:0 1603183177 381785000   -0.0643769 1.4219 1.07811
anonymous:0 1603183177 391274000   -0.0780631 1.42906 1.08981
anonymous:0 1603183177 401552000   -0.0920702 1.4359 1.10164
anonymous:0 1603183177 411873000   -0.106195 1.44168 1.11382
anonymous:0 1603183177 421847000   -0.120809 1.44678 1.12617
anonymous:0 1603183177 431804000   -0.135519 1.45068 1.13875
anonymous:0 1603183177 441168000   -0.150357 1.45347 1.15137
anonymous:0 1603183177 451481000   -0.165287 1.45501 1.1639
anonymous:0 1603183177 461644000   -0.180485 1.45546 1.17616
anonymous:0 1603183177 471983000   -0.195574 1.45476 1.18791
anonymous:0 1603183177 481670000   -0.210816 1.45304 1.19934
anonymous:0 1603183177 491308000   -0.225848 1.45032 1.21012
anonymous:0 1603183177 501140000   -0.240801 1.44667 1.22024
anonymous:0 1603183177 510745000   -0.255453 1.44214 1.22943
anonymous:0 1603183177 520519000   -0.269758 1.43664 1.2376
anonymous:0 1603183177 531562000   -0.283766 1.42976 1.24459
anonymous:0 1603183177 541135000   -0.297937 1.42196 1.25035
anonymous:0 1603183177 551741000   -0.311735 1.41303 1.25471
anonymous:0 1603183177 561740000   -0.325904 1.40348 1.25792
anonymous:0 1603183177 571507000   -0.339455 1.39316 1.25971
anonymous:0 1603183177 581667000   -0.353189 1.38202 1.26019
anonymous:0 1603183177 591836000   -0.36662 1.37054 1.25932
anonymous:0 1603183177 601717000   -0.379945 1.3583 1.25707
anonymous:0 1603183177 611984000   -0.393017 1.34528 1.25351
anonymous:0 1603183177 621823000   -0.405652 1.33158 1.24864
anonymous:0 1603183177 631545000   -0.417383 1.31712 1.24278
anonymous:0 1603183177 641827000   -0.428562 1.302 1.23593
anonymous:0 1603183177 651810000   -0.439044 1.28651 1.22805
anonymous:0 1603183177 662108000   -0.448734 1.27052 1.21939
anonymous:0 1603183177 672466000   -0.457928 1.25393 1.20991
anonymous:0 1603183177 682369000   -0.466705 1.23711 1.19953
anonymous:0 1603183177 692294000   -0.474155 1.22015 1.18828
anonymous:0 1603183177 701860000   -0.481282 1.20287 1.17661
anonymous:0 1603183177 712099000   -0.487558 1.18493 1.16459
anonymous:0 1603183177 722187000   -0.492829 1.1666 1.15216
anonymous:0 1603183177 732091000   -0.497008 1.1479 1.13946
anonymous:0 1603183177 741886000   -0.500531 1.12849 1.12712
anonymous:0 1603183177 752158000   -0.502621 1.10917 1.11418
anonymous:0 1603183177 761905000   -0.504026 1.08892 1.10209
anonymous:0 1603183177 771979000   -0.50454 1.06811 1.09033
anonymous:0 1603183177 782124000   -0.504221 1.04671 1.07902
anonymous:0 1603183177 792052000   -0.503396 1.02477 1.06877
anonymous:0 1603183177 802775000   -0.502297 1.00216 1.05971
anonymous:0 1603183177 812361000   -0.500183 0.979683 1.05135
anonymous:0 1603183177 822233000   -0.497802 0.956891 1.04472
anonymous:0 1603183177 832183000   -0.49481 0.934488 1.03926
anonymous:0 1603183177 841854000   -0.491562 0.911905 1.03555
anonymous:0 1603183177 852345000   -0.488238 0.889407 1.03346
anonymous:0 1603183177 861849000   -0.484789 0.867018 1.03277
anonymous:0 1603183177 871861000   -0.481397 0.845031 1.03373
anonymous:0 1603183177 882050000   -0.478054 0.823489 1.03615
anonymous:0 1603183177 892152000   -0.474774 0.80243 1.04022
anonymous:0 1603183177 901864000   -0.472037 0.781818 1.0457
anonymous:0 1603183177 912244000   -0.469553 0.761669 1.05261
anonymous:0 1603183177 922601000   -0.467583 0.742075 1.06097
anonymous:0 1603183177 991988000   -0.456104 0.624766 1.15398
anonymous:0 1603183178 12067000   -0.450798 0.598345 1.18444
anonymous:0 1603183178 22036000   -0.448336 0.586478 1.19988
anonymous:0 1603183178 31793000   -0.445212 0.575251 1.21553
anonymous:0 1603183178 41744000   -0.441752 0.564837 1.23081
anonymous:0 1603183178 51668000   -0.438482 0.555341 1.24568
anonymous:0 1603183178 61840000   -0.434236 0.546505 1.26035
anonymous:0 1603183178 72039000   -0.429589 0.538372 1.2743
anonymous:0 1603183178 82150000   -0.424551 0.53089 1.28747
anonymous:0 1603183178 91949000   -0.41917 0.523987 1.30003
anonymous:0 1603183178 102379000   -0.413155 0.517448 1.31192
anonymous:0 1603183178 112147000   -0.403458 0.511662 1.32096
anonymous:0 1603183178 121815000   -0.395771 0.506167 1.33047
anonymous:0 1603183178 172138000   -0.345419 0.485665 1.35809
anonymous:0 1603183178 202304000   -0.321516 0.47784 1.35499
anonymous:0 1603183178 211762000   -0.308566 0.477194 1.35118
anonymous:0 1603183178 221897000   -0.295889 0.477411 1.34573
anonymous:0 1603183178 231811000   -0.282968 0.47836 1.33888
anonymous:0 1603183178 241836000   -0.270485 0.480228 1.3307
anonymous:0 1603183178 251987000   -0.258086 0.482625 1.32136
