name ts   x y z   roll pitch yaw  err delay
anonymous:0 1603183167 310176000   -0.361298 0.695402 0.999139
anonymous:0 1603183167 319879000   -0.360727 0.695379 0.998587
anonymous:0 1603183167 329924000   -0.359945 0.695043 0.997951
anonymous:0 1603183167 341589000   -0.359107 0.694884 0.997085
anonymous:0 1603183167 350962000   -0.358257 0.694659 0.99642
anonymous:0 1603183167 361617000   -0.35728 0.692262 0.996033
anonymous:0 1603183167 371086000   -0.355821 0.692118 0.994889
anonymous:0 1603183167 381325000   -0.354697 0.691869 0.993746
anonymous:0 1603183167 391243000   -0.353286 0.694102 0.992007
anonymous:0 1603183167 401321000   -0.352015 0.694281 0.990978
anonymous:0 1603183167 411660000   -0.350571 0.693685 0.989764
anonymous:0 1603183167 421541000   -0.349099 0.693803 0.988464
anonymous:0 1603183167 431616000   -0.34769 0.693995 0.987108
anonymous:0 1603183168 161789000   -0.358905 0.68059 1.05506
anonymous:0 1603183168 172087000   -0.376781 0.679325 1.07463
anonymous:0 1603183168 181985000   -0.394863 0.67738 1.09664
anonymous:0 1603183168 191519000   -0.413046 0.675803 1.11991
anonymous:0 1603183168 201634000   -0.431248 0.674924 1.14469
anonymous:0 1603183168 211762000   -0.44879 0.67502 1.17084
anonymous:0 1603183168 221851000   -0.465825 0.676345 1.19827
anonymous:0 1603183168 231791000   -0.482495 0.67876 1.22664
anonymous:0 1603183168 241833000   -0.498541 0.682765 1.25595
anonymous:0 1603183168 252143000   -0.512836 0.688524 1.28622
anonymous:0 1603183168 261727000   -0.526039 0.69561 1.31628
anonymous:0 1603183168 271903000   -0.537259 0.704794 1.3462
anonymous:0 1603183168 281795000   -0.546739 0.715066 1.37552
anonymous:0 1603183168 291861000   -0.552964 0.726177 1.40331
anonymous:0 1603183168 691324000   -0.564785 0.654253 1.45239
anonymous:0 1603183168 701436000   -0.559498 0.631337 1.44544
anonymous:0 1603183168 711682000   -0.550465 0.607014 1.4395
anonymous:0 1603183168 721613000   -0.537676 0.581851 1.43429
anonymous:0 1603183168 731605000   -0.521432 0.556282 1.42993
anonymous:0 1603183168 741544000   -0.501215 0.530909 1.42681
anonymous:0 1603183168 751856000   -0.47768 0.505758 1.42494
anonymous:0 1603183168 762350000   -0.450939 0.48171 1.42409
anonymous:0 1603183168 772042000   -0.421665 0.459431 1.42429
anonymous:0 1603183168 781896000   -0.390497 0.43952 1.42534
anonymous:0 1603183168 791891000   -0.358382 0.421984 1.42704
anonymous:0 1603183168 801869000   -0.32573 0.40681 1.42967
anonymous:0 1603183168 811950000   -0.29292 0.393976 1.43321
anonymous:0 1603183168 821794000   -0.271876 0.381519 1.4363
anonymous:0 1603183168 831909000   -0.239722 0.37334 1.4422
anonymous:0 1603183168 841834000   -0.208766 0.36737 1.4496
anonymous:0 1603183168 851802000   -0.179365 0.363318 1.45822
anonymous:0 1603183168 861932000   -0.151942 0.36115 1.46767
anonymous:0 1603183168 871854000   -0.126065 0.360185 1.47829
anonymous:0 1603183168 881884000   -0.10196 0.359891 1.4894
anonymous:0 1603183168 891684000   -0.0801684 0.360088 1.50068
anonymous:0 1603183168 901700000   -0.0600842 0.360269 1.51227
anonymous:0 1603183168 912036000   -0.0420394 0.360442 1.5238
anonymous:0 1603183168 921729000   -0.0249951 0.360227 1.53514
anonymous:0 1603183168 931983000   -0.00977541 0.360115 1.54636
anonymous:0 1603183168 941686000   0.00460787 0.359609 1.55703
anonymous:0 1603183168 951876000   0.0175116 0.359657 1.56758
anonymous:0 1603183168 962034000   0.0409088 0.362166 1.57931
anonymous:0 1603183169 12280000   0.084871 0.362424 1.60708
anonymous:0 1603183169 60501000   0.132983 0.367012 1.60299
anonymous:0 1603183169 91601000   0.160925 0.368402 1.58273
anonymous:0 1603183169 101642000   0.17047 0.368884 1.57283
anonymous:0 1603183169 112001000   0.190864 0.371244 1.56455
anonymous:0 1603183169 121604000   0.188441 0.369296 1.54882
anonymous:0 1603183169 162366000   0.219047 0.367554 1.4898
anonymous:0 1603183169 171432000   0.225108 0.366968 1.47198
anonymous:0 1603183169 182422000   0.229135 0.365444 1.45382
anonymous:0 1603183169 191576000   0.231437 0.362824 1.43547
anonymous:0 1603183169 201735000   0.231231 0.358923 1.41717
anonymous:0 1603183169 211695000   0.228151 0.35404 1.39989
anonymous:0 1603183169 221472000   0.223186 0.347503 1.38396
anonymous:0 1603183169 231854000   0.216362 0.33953 1.36986
anonymous:0 1603183169 241754000   0.207309 0.330438 1.35833
anonymous:0 1603183169 251898000   0.196763 0.319429 1.34965
anonymous:0 1603183169 261827000   0.184316 0.30648 1.34405
anonymous:0 1603183169 271770000   0.170523 0.291686 1.34175
anonymous:0 1603183169 281869000   0.154805 0.275706 1.34313
anonymous:0 1603183169 291900000   0.137629 0.258627 1.34793
anonymous:0 1603183169 301772000   0.118675 0.241313 1.35657
anonymous:0 1603183169 312009000   0.0991994 0.223924 1.36871
anonymous:0 1603183169 321639000   0.0781525 0.207628 1.38437
anonymous:0 1603183169 331705000   0.0564782 0.192309 1.40291
anonymous:0 1603183169 341439000   0.0337606 0.178707 1.42376
anonymous:0 1603183169 351277000   0.0108092 0.167149 1.44657
anonymous:0 1603183169 361748000   -0.0122285 0.158414 1.47119
anonymous:0 1603183169 371563000   -0.0348312 0.152356 1.49694
anonymous:0 1603183169 381881000   -0.0560382 0.149171 1.5237
anonymous:0 1603183169 391938000   -0.0756834 0.148506 1.5512
anonymous:0 1603183169 401577000   -0.0935019 0.150444 1.57884
anonymous:0 1603183169 412001000   -0.109632 0.155138 1.6065
anonymous:0 1603183169 422181000   -0.111869 0.164882 1.63415
anonymous:0 1603183169 431840000   -0.12472 0.172908 1.659
anonymous:0 1603183169 441861000   -0.136442 0.181702 1.68219
anonymous:0 1603183169 451904000   -0.146658 0.190923 1.70333
anonymous:0 1603183169 461528000   -0.155369 0.200067 1.72219
anonymous:0 1603183169 471808000   -0.162532 0.209051 1.73918
anonymous:0 1603183169 481934000   -0.168045 0.217699 1.75447
anonymous:0 1603183169 491990000   -0.171803 0.225714 1.76801
anonymous:0 1603183169 501846000   -0.174297 0.232944 1.77949
anonymous:0 1603183169 512084000   -0.176059 0.238898 1.78874
anonymous:0 1603183169 521762000   -0.176957 0.243775 1.79576
anonymous:0 1603183169 532096000   -0.177365 0.247537 1.80062
anonymous:0 1603183169 541692000   -0.177038 0.250063 1.80373
anonymous:0 1603183169 551346000   -0.175895 0.251261 1.80516
anonymous:0 1603183169 561767000   -0.174676 0.251123 1.80515
anonymous:0 1603183169 571675000   -0.173294 0.249498 1.80378
anonymous:0 1603183169 581565000   -0.17203 0.246799 1.80133
anonymous:0 1603183169 590783000   -0.170856 0.242867 1.79755
anonymous:0 1603183169 600653000   -0.169802 0.237962 1.7922
anonymous:0 1603183169 610264000   -0.168929 0.232408 1.78539
anonymous:0 1603183169 620083000   -0.168541 0.226 1.77718
anonymous:0 1603183169 630035000   -0.168094 0.219216 1.76715
anonymous:0 1603183169 640339000   -0.168078 0.211798 1.75569
anonymous:0 1603183169 650838000   -0.168009 0.204033 1.7424
anonymous:0 1603183169 661158000   -0.167639 0.195869 1.72754
anonymous:0 1603183169 672264000   -0.166661 0.187463 1.71109
anonymous:0 1603183169 681337000   -0.164963 0.178796 1.69287
anonymous:0 1603183169 691777000   -0.162337 0.170099 1.67316
anonymous:0 1603183169 701790000   -0.158601 0.161685 1.65162
anonymous:0 1603183169 712879000   -0.15378 0.153664 1.62822
anonymous:0 1603183169 721637000   -0.147627 0.146428 1.60295
anonymous:0 1603183169 731518000   -0.139815 0.140484 1.57602
anonymous:0 1603183169 741756000   -0.130266 0.135893 1.54762
anonymous:0 1603183169 751425000   -0.118723 0.132605 1.51811
anonymous:0 1603183169 761817000   -0.105826 0.130353 1.48781
anonymous:0 1603183169 791529000   -0.0703644 0.128862 1.39373
anonymous:0 1603183169 801424000   -0.0527823 0.132986 1.36248
anonymous:0 1603183169 811721000   -0.0348911 0.138907 1.332
anonymous:0 1603183169 821564000   -0.0176598 0.146237 1.3029
anonymous:0 1603183169 831445000   -0.000989311 0.154912 1.27579
anonymous:0 1603183169 841558000   0.0143157 0.164998 1.25051
anonymous:0 1603183169 851300000   0.0275262 0.17562 1.22759
anonymous:0 1603183169 861577000   0.0376512 0.186645 1.20648
anonymous:0 1603183169 871266000   0.0440515 0.197132 1.1873
anonymous:0 1603183169 881275000   0.0470677 0.206408 1.17032
anonymous:0 1603183169 891479000   0.0474617 0.214199 1.15592
anonymous:0 1603183169 901743000   0.0447718 0.220337 1.1436
anonymous:0 1603183169 911607000   0.0387467 0.225196 1.13366
anonymous:0 1603183169 921565000   0.0290572 0.228591 1.12559
anonymous:0 1603183169 931629000   0.0158357 0.231025 1.11944
anonymous:0 1603183169 941585000   -0.000669849 0.232312 1.11508
anonymous:0 1603183169 951837000   -0.0200308 0.23262 1.11232
anonymous:0 1603183169 961753000   -0.0424707 0.23254 1.11121
anonymous:0 1603183169 971427000   -0.0674822 0.23192 1.11122
