name ts   x y z   roll pitch yaw  err delay
anonymous:0 1603182859 57129000   -0.259171 1.52027 0.890451
anonymous:0 1603182859 67061000   -0.259356 1.52001 0.890698
anonymous:0 1603182859 77881000   -0.259452 1.51963 0.890621
anonymous:0 1603182859 87424000   -0.259545 1.51923 0.890951
anonymous:0 1603182859 97460000   -0.259659 1.51893 0.890905
anonymous:0 1603182859 107551000   -0.259536 1.51853 0.891074
anonymous:0 1603182859 117570000   -0.259085 1.51789 0.891205
anonymous:0 1603182859 127298000   -0.259537 1.51792 0.89132
anonymous:0 1603182859 137602000   -0.259581 1.51758 0.891448
anonymous:0 1603182859 147592000   -0.259477 1.51724 0.891491
anonymous:0 1603182859 157338000   -0.259488 1.51698 0.891784
anonymous:0 1603182859 167525000   -0.259686 1.51688 0.891767
anonymous:0 1603182859 177749000   -0.259702 1.5166 0.892001
anonymous:0 1603182859 187028000   -0.259511 1.51622 0.892114
anonymous:0 1603182859 196874000   -0.260073 1.51622 0.891931
anonymous:0 1603182859 207381000   -0.260344 1.51612 0.891961
anonymous:0 1603182859 216961000   -0.259954 1.51567 0.891826
anonymous:0 1603182859 227451000   -0.260526 1.51577 0.891876
anonymous:0 1603182859 237285000   -0.260719 1.51568 0.892131
anonymous:0 1603182859 247386000   -0.260812 1.51548 0.891863
anonymous:0 1603182859 257161000   -0.26084 1.51529 0.891952
anonymous:0 1603182859 267620000   -0.261113 1.51521 0.8918
anonymous:0 1603182859 277570000   -0.26126 1.51514 0.892057
anonymous:0 1603182859 287329000   -0.261585 1.51498 0.8918
anonymous:0 1603182859 297070000   -0.261833 1.51489 0.891778
anonymous:0 1603182859 307789000   -0.262315 1.51495 0.891734
anonymous:0 1603182859 317453000   -0.26249 1.51474 0.891762
anonymous:0 1603182859 327822000   -0.26258 1.51453 0.89156
anonymous:0 1603182859 337767000   -0.262714 1.51442 0.891634
anonymous:0 1603182859 347458000   -0.263111 1.51441 0.891852
anonymous:0 1603182859 357599000   -0.263247 1.51439 0.891816
anonymous:0 1603182859 367642000   -0.263597 1.51439 0.89188
anonymous:0 1603182859 377409000   -0.263604 1.51403 0.891835
anonymous:0 1603182859 387358000   -0.264128 1.51406 0.891804
anonymous:0 1603182859 397155000   -0.264491 1.51406 0.891586
anonymous:0 1603182859 407226000   -0.264292 1.51371 0.89189
anonymous:0 1603182859 417128000   -0.26425 1.51342 0.892143
anonymous:0 1603182859 426828000   -0.264535 1.51342 0.892244
anonymous:0 1603182859 435910000   -0.264609 1.51319 0.892246
anonymous:0 1603182859 445538000   -0.264453 1.51288 0.892303
anonymous:0 1603182859 455780000   -0.264753 1.51289 0.892432
anonymous:0 1603182859 465452000   -0.2648 1.51275 0.89268
anonymous:0 1603182859 476194000   -0.265011 1.51265 0.892785
anonymous:0 1603182859 486736000   -0.264924 1.51238 0.893003
anonymous:0 1603182859 496831000   -0.264816 1.51222 0.893171
anonymous:0 1603182859 507217000   -0.265277 1.51237 0.893105
anonymous:0 1603182859 517158000   -0.265051 1.51217 0.893211
anonymous:0 1603182859 527281000   -0.264978 1.51198 0.893434
anonymous:0 1603182859 537172000   -0.264884 1.5119 0.893449
anonymous:0 1603182859 547279000   -0.264996 1.5119 0.893514
anonymous:0 1603182859 557612000   -0.264813 1.51178 0.893488
anonymous:0 1603182859 567516000   -0.264799 1.51177 0.893901
anonymous:0 1603182859 577603000   -0.265031 1.51193 0.893713
anonymous:0 1603182859 587529000   -0.264811 1.51172 0.893556
anonymous:0 1603182859 597459000   -0.264898 1.51184 0.893726
anonymous:0 1603182859 607701000   -0.26447 1.51163 0.893901
anonymous:0 1603182859 617342000   -0.265207 1.5121 0.893536
anonymous:0 1603182859 627355000   -0.265383 1.51224 0.893686
anonymous:0 1603182859 637316000   -0.264956 1.51201 0.893761
anonymous:0 1603182859 647214000   -0.265129 1.51215 0.893524
anonymous:0 1603182859 657642000   -0.264943 1.51206 0.893617
anonymous:0 1603182859 667486000   -0.265164 1.5123 0.893515
anonymous:0 1603182859 677878000   -0.265088 1.5123 0.893616
anonymous:0 1603182859 687629000   -0.26487 1.51228 0.89375
anonymous:0 1603182859 697536000   -0.265002 1.51238 0.893669
anonymous:0 1603182859 707798000   -0.265089 1.51253 0.893787
anonymous:0 1603182859 717565000   -0.264948 1.51248 0.893692
anonymous:0 1603182859 727644000   -0.264678 1.51237 0.893692
anonymous:0 1603182859 737594000   -0.264835 1.51249 0.893599
anonymous:0 1603182859 747423000   -0.265043 1.51275 0.893614
anonymous:0 1603182859 757679000   -0.264805 1.51268 0.893749
anonymous:0 1603182859 767457000   -0.265087 1.51296 0.893604
anonymous:0 1603182859 777446000   -0.265026 1.51297 0.893784
anonymous:0 1603182859 787276000   -0.265391 1.51329 0.893491
anonymous:0 1603182859 797597000   -0.257412 1.5116 0.896799
anonymous:0 1603182859 808003000   -0.264767 1.51357 0.893344
anonymous:0 1603182859 817580000   -0.264454 1.51345 0.893311
anonymous:0 1603182859 827776000   -0.264777 1.51363 0.893345
anonymous:0 1603182859 838002000   -0.264991 1.51368 0.893204
anonymous:0 1603182859 847505000   -0.264758 1.51356 0.893354
anonymous:0 1603182859 857303000   -0.265159 1.51371 0.893058
anonymous:0 1603182859 867157000   -0.264674 1.51349 0.893441
anonymous:0 1603182859 877495000   -0.257506 1.51191 0.896608
anonymous:0 1603182859 886924000   -0.257443 1.51189 0.896577
anonymous:0 1603182859 897440000   -0.264424 1.51364 0.893029
anonymous:0 1603182859 907763000   -0.264567 1.51366 0.892946
anonymous:0 1603182859 917601000   -0.264582 1.51359 0.892946
anonymous:0 1603182859 927572000   -0.264749 1.51354 0.892791
anonymous:0 1603182859 937290000   -0.265024 1.51361 0.892846
anonymous:0 1603182859 947428000   -0.264675 1.51334 0.892904
anonymous:0 1603182859 957628000   -0.264522 1.51315 0.892961
anonymous:0 1603182859 967445000   -0.264892 1.51322 0.89296
anonymous:0 1603182859 977447000   -0.26458 1.51296 0.892798
anonymous:0 1603182859 987417000   -0.264485 1.51278 0.892912
anonymous:0 1603182859 997465000   -0.264527 1.51266 0.892922
anonymous:0 1603182860 7660000   -0.264575 1.51253 0.89297
anonymous:0 1603182860 17229000   -0.264513 1.51242 0.892921
anonymous:0 1603182860 27558000   -0.264318 1.51234 0.892996
anonymous:0 1603182860 37526000   -0.264362 1.51239 0.892953
anonymous:0 1603182860 47329000   -0.264307 1.51236 0.892874
anonymous:0 1603182860 57598000   -0.26394 1.51201 0.892883
anonymous:0 1603182860 67532000   -0.264409 1.51238 0.892812
anonymous:0 1603182860 77746000   -0.263666 1.51193 0.892837
anonymous:0 1603182860 87359000   -0.263838 1.51202 0.892497
anonymous:0 1603182860 97548000   -0.263798 1.51203 0.892375
anonymous:0 1603182860 107523000   -0.263799 1.51211 0.892384
anonymous:0 1603182860 117532000   -0.263355 1.5119 0.892386
anonymous:0 1603182860 127322000   -0.263834 1.51236 0.892173
anonymous:0 1603182860 136909000   -0.263049 1.51196 0.892237
anonymous:0 1603182860 147197000   -0.263141 1.51214 0.89187
anonymous:0 1603182860 157498000   -0.262538 1.51184 0.891813
anonymous:0 1603182860 167331000   -0.262507 1.51196 0.891606
anonymous:0 1603182860 177273000   -0.262429 1.51204 0.891694
anonymous:0 1603182860 187002000   -0.262022 1.51187 0.891484
anonymous:0 1603182860 197183000   -0.261923 1.51187 0.891215
anonymous:0 1603182860 207739000   -0.261807 1.51193 0.891375
anonymous:0 1603182860 217502000   -0.261784 1.51198 0.89145
anonymous:0 1603182860 227543000   -0.261586 1.51204 0.891424
anonymous:0 1603182860 237498000   -0.261458 1.512 0.891325
anonymous:0 1603182860 247435000   -0.261419 1.512 0.891311
anonymous:0 1603182860 257744000   -0.261207 1.51199 0.891486
anonymous:0 1603182860 267397000   -0.261267 1.51214 0.891213
anonymous:0 1603182860 277356000   -0.261147 1.51219 0.891325
anonymous:0 1603182860 287312000   -0.261306 1.51223 0.89116
anonymous:0 1603182860 297441000   -0.261161 1.5122 0.891241
anonymous:0 1603182860 307726000   -0.261031 1.5122 0.891369
anonymous:0 1603182860 317550000   -0.261214 1.51225 0.891216
anonymous:0 1603182860 327142000   -0.261106 1.51226 0.891312
anonymous:0 1603182860 337393000   -0.260974 1.51222 0.891469
anonymous:0 1603182860 347341000   -0.261051 1.51224 0.891426
anonymous:0 1603182860 357725000   -0.261232 1.51231 0.891213
anonymous:0 1603182860 367603000   -0.261052 1.51227 0.891487
anonymous:0 1603182860 377457000   -0.2612 1.51238 0.891345
anonymous:0 1603182860 387342000   -0.261037 1.5123 0.891602
anonymous:0 1603182860 397665000   -0.261448 1.51248 0.89141
anonymous:0 1603182860 407694000   -0.261485 1.51251 0.89148
anonymous:0 1603182860 417281000   -0.261618 1.51256 0.891568
anonymous:0 1603182860 427623000   -0.261536 1.51252 0.8915
anonymous:0 1603182860 437077000   -0.261913 1.51281 0.891596
anonymous:0 1603182860 447628000   -0.261982 1.51281 0.891541
anonymous:0 1603182860 457586000   -0.254994 1.51159 0.894661
anonymous:0 1603182860 467242000   -0.261828 1.51331 0.891358
anonymous:0 1603182860 477343000   -0.261981 1.51344 0.891437
anonymous:0 1603182860 486420000   -0.262346 1.51363 0.891471
anonymous:0 1603182860 496212000   -0.262688 1.51384 0.891519
anonymous:0 1603182860 505979000   -0.262486 1.5137 0.891535
anonymous:0 1603182860 515945000   -0.263001 1.514 0.891453
anonymous:0 1603182860 527146000   -0.262946 1.51398 0.891552
anonymous:0 1603182860 537137000   -0.263022 1.51412 0.891699
anonymous:0 1603182860 547015000   -0.263093 1.51417 0.891706
anonymous:0 1603182860 557477000   -0.26352 1.51452 0.89175
anonymous:0 1603182860 567329000   -0.263154 1.51427 0.891672
anonymous:0 1603182860 577481000   -0.263263 1.51438 0.891777
anonymous:0 1603182860 587397000   -0.263339 1.51447 0.891742
anonymous:0 1603182860 597429000   -0.263202 1.51441 0.891817
anonymous:0 1603182860 607459000   -0.263351 1.5146 0.89185
anonymous:0 1603182860 617547000   -0.263642 1.51476 0.891815
anonymous:0 1603182860 627626000   -0.263344 1.51461 0.891922
anonymous:0 1603182860 637599000   -0.264001 1.51507 0.891775
anonymous:0 1603182860 647550000   -0.26348 1.51473 0.891897
anonymous:0 1603182860 657612000   -0.263543 1.51474 0.891909
anonymous:0 1603182860 667398000   -0.26405 1.51504 0.891915
anonymous:0 1603182860 677413000   -0.263725 1.51481 0.892057
anonymous:0 1603182860 687029000   -0.263522 1.51473 0.892076
anonymous:0 1603182860 697538000   -0.263649 1.51468 0.892187
anonymous:0 1603182860 707163000   -0.263755 1.51479 0.892077
anonymous:0 1603182860 717531000   -0.263591 1.51461 0.892025
anonymous:0 1603182860 727750000   -0.263556 1.51464 0.892213
anonymous:0 1603182860 737121000   -0.263439 1.51454 0.892297
anonymous:0 1603182860 747074000   -0.263359 1.51445 0.892236
anonymous:0 1603182860 757710000   -0.263489 1.51455 0.892192
anonymous:0 1603182860 767386000   -0.263445 1.51452 0.892311
anonymous:0 1603182860 777467000   -0.263461 1.51445 0.892188
anonymous:0 1603182860 787228000   -0.263691 1.5147 0.892167
anonymous:0 1603182860 797367000   -0.263178 1.51438 0.892068
anonymous:0 1603182860 807422000   -0.263195 1.51443 0.8921
