name ts   x y z   roll pitch yaw  err delay
anonymous:0 1603183008 799457000   -0.0455182 1.39813 0.87902
anonymous:0 1603183008 809187000   -0.0487999 1.3983 0.878789
anonymous:0 1603183008 819359000   -0.05231 1.39866 0.879202
anonymous:0 1603183008 829477000   -0.0559343 1.39891 0.879378
anonymous:0 1603183008 839464000   -0.0601446 1.39993 0.879513
anonymous:0 1603183008 849404000   -0.0640213 1.40032 0.880107
anonymous:0 1603183008 859526000   -0.067777 1.40134 0.880623
anonymous:0 1603183008 869323000   -0.0721673 1.40236 0.880834
anonymous:0 1603183008 879525000   -0.0759136 1.40301 0.881515
anonymous:0 1603183008 889452000   -0.080143 1.40446 0.882335
anonymous:0 1603183008 899235000   -0.0833887 1.40507 0.883389
anonymous:0 1603183008 909369000   -0.0872357 1.40623 0.883453
anonymous:0 1603183008 919607000   -0.0913991 1.40776 0.884092
anonymous:0 1603183008 929344000   -0.0944775 1.40871 0.884821
anonymous:0 1603183008 939481000   -0.0980779 1.41019 0.885028
anonymous:0 1603183008 949440000   -0.102025 1.41184 0.884989
anonymous:0 1603183008 959725000   -0.0967999 1.41177 0.888085
anonymous:0 1603183008 969596000   -0.108146 1.41487 0.885371
anonymous:0 1603183008 979633000   -0.11062 1.41618 0.885549
anonymous:0 1603183008 989524000   -0.113889 1.41781 0.885393
anonymous:0 1603183008 999714000   -0.116303 1.4193 0.885321
anonymous:0 1603183009 9760000   -0.118646 1.42077 0.885075
anonymous:0 1603183009 19531000   -0.120623 1.42227 0.884765
anonymous:0 1603183009 29280000   -0.12279 1.42376 0.88444
anonymous:0 1603183009 39214000   -0.124001 1.42502 0.88418
anonymous:0 1603183009 49118000   -0.125761 1.42652 0.883837
anonymous:0 1603183009 59196000   -0.127043 1.4281 0.883302
anonymous:0 1603183009 69631000   -0.127929 1.43048 0.881814
anonymous:0 1603183009 99851000   -0.130461 1.43804 0.878565
anonymous:0 1603183009 129866000   -0.130806 1.44374 0.875777
anonymous:0 1603183009 269918000   -0.105066 1.44324 0.872165
anonymous:0 1603183009 289416000   -0.10748 1.43478 0.870519
anonymous:0 1603183009 319426000   -0.0965025 1.42167 0.872611
anonymous:0 1603183009 329687000   -0.0915635 1.41878 0.872654
anonymous:0 1603183009 339309000   -0.085911 1.41587 0.872651
anonymous:0 1603183009 349030000   -0.0804425 1.41338 0.872898
anonymous:0 1603183009 359096000   -0.0748969 1.41095 0.873001
anonymous:0 1603183009 369053000   -0.0717169 1.40946 0.873145
anonymous:0 1603183009 379655000   -0.0679403 1.40902 0.873517
anonymous:0 1603183009 399530000   -0.0692342 1.40633 0.873835
anonymous:0 1603183009 419018000   -0.0685761 1.40313 0.875339
anonymous:0 1603183009 428442000   -0.0689667 1.40172 0.876075
anonymous:0 1603183009 437822000   -0.0693934 1.40042 0.876774
anonymous:0 1603183009 447704000   -0.0700251 1.39911 0.877543
anonymous:0 1603183009 458388000   -0.0706847 1.39796 0.878097
anonymous:0 1603183009 468580000   -0.0713418 1.39688 0.878546
anonymous:0 1603183009 479245000   -0.0724073 1.39618 0.879011
anonymous:0 1603183009 489067000   -0.0740356 1.39601 0.879093
anonymous:0 1603183009 499448000   -0.0758262 1.39587 0.879384
anonymous:0 1603183009 509704000   -0.077607 1.39597 0.879533
anonymous:0 1603183009 519342000   -0.0788969 1.39628 0.87934
anonymous:0 1603183009 529660000   -0.0810559 1.39729 0.87866
