name ts   x y z   roll pitch yaw  err delay
anonymous:0 1603183098 440635000   -0.351708 1.25023 0.879475
anonymous:0 1603183098 450507000   -0.351863 1.24987 0.879641
anonymous:0 1603183098 460536000   -0.35163 1.24927 0.880073
anonymous:0 1603183098 470966000   -0.351842 1.24897 0.880314
anonymous:0 1603183098 480794000   -0.35193 1.24849 0.88066
anonymous:0 1603183098 490685000   -0.351944 1.24792 0.880876
anonymous:0 1603183098 500952000   -0.351907 1.24741 0.88127
anonymous:0 1603183098 510811000   -0.352033 1.2468 0.881436
anonymous:0 1603183098 520819000   -0.352316 1.24633 0.881573
anonymous:0 1603183098 530910000   -0.352446 1.24558 0.881876
anonymous:0 1603183098 540898000   -0.352833 1.24482 0.882244
anonymous:0 1603183098 550065000   -0.353036 1.24386 0.882579
anonymous:0 1603183098 560897000   -0.353575 1.24285 0.882982
anonymous:0 1603183098 570812000   -0.353787 1.24143 0.883567
anonymous:0 1603183098 580813000   -0.354328 1.23994 0.884127
anonymous:0 1603183098 590338000   -0.354869 1.23795 0.884909
anonymous:0 1603183098 600430000   -0.355887 1.23566 0.885825
anonymous:0 1603183098 610740000   -0.356624 1.23339 0.886822
anonymous:0 1603183098 620912000   -0.357631 1.23073 0.888032
anonymous:0 1603183098 630443000   -0.358712 1.22778 0.889753
anonymous:0 1603183098 640377000   -0.360225 1.22467 0.891429
anonymous:0 1603183098 650000000   -0.361561 1.22081 0.893781
anonymous:0 1603183098 660039000   -0.363552 1.21733 0.8961
anonymous:0 1603183098 669560000   -0.366021 1.21358 0.898826
anonymous:0 1603183098 689610000   -0.371534 1.20472 0.905381
anonymous:0 1603183098 699149000   -0.374331 1.1999 0.909262
anonymous:0 1603183098 708973000   -0.378361 1.19542 0.913494
anonymous:0 1603183098 719244000   -0.382208 1.19028 0.918538
anonymous:0 1603183098 729249000   -0.386807 1.18523 0.923713
anonymous:0 1603183098 739181000   -0.3914 1.18001 0.929332
anonymous:0 1603183098 748714000   -0.396724 1.17472 0.935596
anonymous:0 1603183098 759174000   -0.402082 1.16917 0.942205
anonymous:0 1603183098 769736000   -0.407499 1.16361 0.949253
anonymous:0 1603183098 780135000   -0.412865 1.15786 0.956836
anonymous:0 1603183098 789844000   -0.417989 1.15205 0.964749
anonymous:0 1603183098 800261000   -0.423194 1.14632 0.973108
anonymous:0 1603183098 810137000   -0.428422 1.14059 0.98152
anonymous:0 1603183098 820353000   -0.433488 1.1348 0.990509
anonymous:0 1603183098 830255000   -0.438426 1.12913 0.999559
anonymous:0 1603183098 840467000   -0.443615 1.12331 1.00881
